dom,sup,seed,client,logn,prev_gap,feat_shift,cc_port,score_w1,disagree,T_in,T_gap,T_diag,ba_local,ba_fedavg,ba_cluster,ba_shrink,ba_fedavg_ft
mobile_B,100,2,play2016-2016,4.605170185988092,0.3109090909090909,0.0990337934849499,-0.2396446168422699,0.08597664098576273,0.08333333333333333,-0.6178571428571429,-0.1901785714285713,-0.8080357142857142,0.6714924487840489,0.5593146872290916,0.6840337029094614,0.5582394184118873,0.5537695244178796
mobile_B,100,2,play2017-2017,4.605170185988092,0.2509090909090909,0.12648703052807486,-0.09753835946321487,0.09754829008585848,0.06666666666666667,-0.6352,-0.3068000000000001,-0.9420000000000001,0.8011814300330922,0.8658049990399613,0.8691330080098416,0.8652458845150452,0.864618759419558
mobile_B,100,2,play2018-2018,4.605170185988092,0.08090909090909093,0.13871244528687954,-0.15583081543445587,0.06706143956505854,0.08333333333333333,-0.6368742368742368,-0.26178266178266174,-0.8986568986568986,0.8200159033190675,0.8509987160003016,0.8614371279503401,0.8521331996250472,0.848564145504825
mobile_B,100,2,play2019-2021,4.605170185988092,0.3109090909090909,0.29440516740446965,-0.3794310390949249,0.039435126604380186,0.05,-0.7217864923747277,-0.051633986928104614,-0.7734204793028323,0.7726027397260273,0.76,0.7804892367906067,0.7571232876712328,0.7523091976516634
mobile_B,100,2,slideme,4.605170185988092,0.010909090909090924,0.12355916547896328,-0.391300231218338,0.12817323789894763,0.15,-0.6708133971291865,-0.18205741626794258,-0.8528708133971291,0.8622983963961194,0.874744391998893,0.9147806768038622,0.8764164142617733,0.8868367645023908
mobile_B,100,3,1mobile,4.605170185988092,0.16636363636363632,0.11776220299722362,-0.4893952012062073,0.09828619380630055,0.05,-0.7468860164512339,-0.1720329024676851,-0.918918918918919,0.8893478235227045,0.9155064423413399,0.9265628133195456,0.9139435307254662,0.901925821659006
mobile_B,100,3,PlayDrone,4.605170185988092,0.07636363636363636,0.10457226121735819,-0.06652570515871048,0.09721292755975695,0.36666666666666664,-0.5230255839822024,-0.32458286985539486,-0.8476084538375973,0.7759244480345513,0.7303612967768358,0.7647637301354762,0.7372289950416595,0.7495673795259225
mobile_B,100,3,angeeks,4.605170185988092,0.11636363636363639,0.12764720451976197,-0.35937753319740295,0.2079017605914783,0.2,-0.5992213570634038,-0.2973303670745272,-0.896551724137931,0.8388929648650851,0.7826771011657292,0.8012961604304231,0.7795875112089345,0.844778674492541
mobile_B,100,3,anzhi,4.605170185988092,0.43636363636363634,0.2477834396071137,0.04139034450054169,0.08019510169979185,0.08333333333333333,-0.5594827586206896,-0.19051724137931036,-0.75,0.7204331991566034,0.7636258782627088,0.7454387623133037,0.7632447194075954,0.7549181610076694
mobile_B,100,3,appchina,4.605170185988092,0.3763636363636363,0.26105741689193185,-0.29295313358306885,0.1267120245726613,0.11666666666666667,-0.6288409703504044,-0.29568733153638804,-0.9245283018867925,0.7191746232147085,0.7651057929681775,0.7570774762994443,0.76931271206502,0.7543957344635952
mobile_B,100,3,play2013-2014,4.605170185988092,0.26363636363636367,0.07918397365845975,-0.41059085726737976,0.13041703410625183,0.1,-0.6476268412438626,-0.1854337152209491,-0.8330605564648117,0.789417785219603,0.8078015247638217,0.8329602291163778,0.8065022441965412,0.7405129389503582
mobile_B,100,3,play2016-2016,4.605170185988092,0.2836363636363637,0.10346034932264048,-0.2193295955657959,0.12967169779467186,0.13333333333333333,-0.6256172839506172,-0.15216049382716057,-0.7777777777777778,0.7372512896094325,0.7520203881110292,0.7406104151314173,0.7473900761483665,0.7286293294030951
mobile_B,100,3,play2017-2017,4.605170185988092,0.19363636363636366,0.11126185828103297,0.017231011763215065,0.05790616830069902,0.08333333333333333,-0.6664484451718494,-0.19279869067103117,-0.8592471358428806,0.839289329823851,0.8691224427375686,0.8899578402611146,0.8716719868925716,0.8764336249764861
mobile_B,100,3,play2018-2018,4.605170185988092,0.013636363636363669,0.15296905899298596,-0.27681124210357666,0.1068185149684384,0.15,-0.6169683257918552,-0.2947963800904977,-0.9117647058823529,0.811969102349472,0.8632463107912721,0.883566662407028,0.8641010514877793,0.846955336215421
mobile_B,100,3,play2019-2021,4.605170185988092,0.30363636363636365,0.29591409045544015,-0.37670302391052246,0.12168219964526908,0.11666666666666667,-0.7716363636363636,0.3134545454545454,-0.4581818181818182,0.6766639678105665,0.7409617154575253,0.7568634371124239,0.7421969611341654,0.7609282527175021
mobile_B,100,3,slideme,4.605170185988092,0.11363636363636365,0.15082777051574958,-0.44158706068992615,0.08683519620132492,0.11666666666666667,-0.7114774114774115,-0.2543345543345543,-0.9658119658119658,0.870196070795771,0.9192176638953251,0.9299655367121633,0.9192176638953251,0.9218150664927276
mobile_B,100,4,1mobile,4.605170185988092,0.31545454545454543,0.1541645582081249,-0.45716941356658936,0.08986202954091706,0.11666666666666667,-0.7413875598086126,-0.16889952153110033,-0.9102870813397129,0.913348592500755,0.9386454309920048,0.9177514981005516,0.9386454309920048,0.9394560742612814
mobile_B,100,4,PlayDrone,4.605170185988092,0.024545454545454537,0.11028920553980337,-0.15355199575424194,0.08432193186753269,0.18333333333333332,-0.6229910714285715,-0.29553571428571423,-0.9185267857142857,0.793598636972131,0.7822515357874185,0.7772169045086803,0.7880745643972464,0.7931224238191237
mobile_B,100,4,angeeks,4.605170185988092,0.10545454545454547,0.12646573040249898,-0.37614890933036804,0.09765615611648347,0.11666666666666667,-0.6181312569521691,-0.31067853170189097,-0.92880978865406,0.840724208059012,0.8596451920535888,0.8506687118679122,0.8607108797812324,0.8704801626969081
