
##### mobsup alpha=0.05  (mean over 5 seeds x ctype{rand,top} x contaminated scenarios hom.05/.10/.20/het)
-- k=5  policy: tpr  wtpr  | fpr  wfpr  fdev  | succ  | recTPR recWTPR
   LAB-POOL      0.752 0.558 | 0.072 0.129 0.037 | 0.73 | 0.95 0.90
   LAB-EB        0.764 0.578 | 0.070 0.120 0.031 | 0.79 | 0.99 0.95
   PEER+LAB      0.720 0.514 | 0.045 0.104 0.030 | 0.78 | 0.87 0.78
   LAB-EB-ALLOC  0.768 0.582 | 0.076 0.128 0.035 | 0.75 | 0.99 0.97
   LAB-EB-V      0.775 0.587 | 0.094 0.145 0.048 | 0.61 | 1.01 0.98
   LAB-EB-TAU    0.758 0.576 | 0.056 0.100 0.023 | 0.88 | 0.97 0.95
   LAB-EB-VTAU   0.770 0.586 | 0.079 0.127 0.035 | 0.74 | 1.00 0.98
   ORACLE-TRUE   0.770 0.594 | 0.050 0.076 0.013 | 0.99 | 1.00 1.00
-- clean (eps=0) k=10: harm vs LOCAL: dTPR dwFPR dfdev
   GLOBAL        -0.013 +0.101 +0.034
   CLEAN-K       +0.004 +0.163 +0.049
   PEER-TRIM     +0.000 +0.158 +0.038
   LAB-POOL      +0.000 +0.000 +0.000
   LAB-EB        +0.000 +0.000 +0.000
   PEER+LAB      +0.000 +0.100 +0.024

##### scidb alpha=0.05  (mean over 5 seeds x ctype{rand,top} x contaminated scenarios hom.05/.10/.20/het)
-- k=5  policy: tpr  wtpr  | fpr  wfpr  fdev  | succ  | recTPR recWTPR
   LOCAL         0.305 0.128 | 0.008 0.032 0.044 | 0.15 | 0.00 0.00
   GLOBAL        0.183 0.091 | 0.002 0.009 0.048 | 0.03 | -0.31 -0.09
   CLEAN-K       0.742 0.520 | 0.187 0.446 0.146 | 0.34 | 1.10 0.94
   PEER-TRIM     0.384 0.196 | 0.014 0.053 0.043 | 0.24 | 0.20 0.16
   LAB-LOCAL     0.543 0.192 | 0.097 0.323 0.094 | 0.23 | 0.60 0.15
   LAB-POOL      0.670 0.503 | 0.084 0.156 0.058 | 0.51 | 0.92 0.90
   LAB-EB        0.674 0.501 | 0.088 0.171 0.061 | 0.50 | 0.93 0.89
   PEER+LAB      0.464 0.238 | 0.022 0.070 0.039 | 0.37 | 0.40 0.26
   LAB-EB-ALLOC  0.683 0.509 | 0.096 0.187 0.067 | 0.49 | 0.95 0.91
   LAB-EB-V      0.683 0.510 | 0.095 0.180 0.065 | 0.49 | 0.95 0.91
   LAB-EB-TAU    0.653 0.474 | 0.073 0.150 0.051 | 0.55 | 0.88 0.83
   LAB-EB-VTAU   0.664 0.485 | 0.080 0.159 0.055 | 0.54 | 0.90 0.85
   ORACLE-TRUE   0.702 0.546 | 0.059 0.107 0.024 | 0.92 | 1.00 1.00
-- k=10  policy: tpr  wtpr  | fpr  wfpr  fdev  | succ  | recTPR recWTPR
   LOCAL         0.304 0.130 | 0.007 0.031 0.044 | 0.15 | 0.00 0.00
   GLOBAL        0.184 0.092 | 0.002 0.009 0.048 | 0.03 | -0.30 -0.09
   CLEAN-K       0.701 0.442 | 0.106 0.268 0.073 | 0.53 | 1.00 0.75
   PEER-TRIM     0.382 0.195 | 0.013 0.052 0.042 | 0.25 | 0.20 0.16
